token,rate_personal_per1k,rate_official_per1k,diff_per1k,count_total
同,7.918088737201364,4.8917568692756035,3.0263318679257605,152
老,3.6860068259385668,0.8846794338051623,2.8013273921334045,44
遊,3.5494880546075085,1.144879267277269,2.4046087873302397,48
年,6.552901023890785,4.319317235636969,2.2335837882538154,131
山,4.505119453924914,2.4458784346378017,2.0592410192871125,80
仙,3.4129692832764507,1.4050791007493755,2.007890182527075,52
海,2.5938566552901023,0.6765195670274772,1.917337088262625,32
如,3.6860068259385668,1.9775187343880103,1.7084880915505565,65
異,2.4573378839590445,0.7805995004163196,1.676738383542725,33
三,3.8225255972696246,2.289758534554538,1.5327670627150867,72
齒,1.5017064846416381,0.05203996669442132,1.4496665179472168,12
中,4.778156996587031,3.3305578684429644,1.4475991281440663,99
生,4.09556313993174,2.654038301415487,1.4415248385162531,81
作,3.4129692832764507,1.9775187343880103,1.4354505488884404,63
人,6.552901023890785,5.15195670274771,1.4009443211430748,147
淸,3.6860068259385668,5.308076602830974,-1.6220697768924075,129
馬,0.5460750853242321,2.237718567860117,-1.6916434825358846,47
職,0.0,1.7173189009159033,-1.7173189009159033,33
曹,0.13651877133105803,1.8734388009991674,-1.7369200296681093,37
司,0.0,1.821398834304746,-1.821398834304746,35
盡,0.9556313993174061,2.810158201498751,-1.8545268021813448,61
平,1.0921501706484642,3.0183180682764363,-1.9261678976279721,66
臺,1.0921501706484642,3.070358034970858,-1.9782078643223937,67
畫,3.2764505119453924,5.412156536219817,-2.135706024274425,128
須,1.9112627986348123,4.059117402164862,-2.1478546035300496,92
禁,0.13651877133105803,2.289758534554538,-2.15323976322348,45
郞,0.13651877133105803,2.5499583680266444,-2.4134395966955866,50
時,5.597269624573379,8.430474604496254,-2.8332049799228756,203
選,0.6825938566552902,3.5387177352206494,-2.8561238785653593,73
官,1.5017064846416381,6.504995836802664,-5.003289352161025,136
