관청,순위,노드1,노드2,NPMI차이(d),근거보정score,총동시출현(total)
사헌부,1,史,御,0.604280938682862,1.449002406309797,10
사헌부,2,行,避,0.5417598056894407,1.1903679600737338,8
사헌부,3,馬,驄,0.4373222754126228,1.121709489323224,12
사헌부,4,二,十,0.5713592678807854,1.023738378556606,5
사헌부,5,天,街,0.5533795695064754,0.9915230837405719,5
사헌부,6,威,霜,0.4094895094559268,0.9428844402106615,9
사헌부,7,前,道,0.52333379773741,0.937688287663084,5
사헌부,8,乘,驄,0.40722248423840673,0.9376644217393582,9
사헌부,9,鐵,面,0.44384792005026297,0.9229558031407074,7
사헌부,10,肝,鐵,0.45708334669298667,0.8894431232940511,6
사헌부,11,石,鐵,0.4600488778202533,0.8242969331421793,5
사헌부,12,行,馬,0.4011143999751078,0.7805325818437945,6
사헌부,13,畫,題,0.42131314093683947,0.7548918097837962,5
사헌부,14,行,驄,0.3395105318039836,0.6606569895485384,6
사헌부,15,烏,臺,0.317204519061224,0.6596082541444824,7
사간원,1,垣,薇,0.5288291652225884,1.4662257794876263,15
사간원,2,卵,鵝,0.6010234184949311,1.1695375698692054,6
사간원,3,時,淸,0.304448915002278,0.7565271334099023,11
사간원,4,英,風,0.4105826382270437,0.7356653299439424,5
사간원,5,共,淸,0.34383487867145196,0.6690717800059807,6
사간원,6,醉,風,0.285868940011302,0.5122083802234371,5
사간원,7,傾,共,0.24578030974799214,0.47826639917657643,6
사간원,8,事,諫,0.25939707412103646,0.4647771638464187,5
사간원,9,會,風,0.21931679400352375,0.42677077530973034,6
사간원,10,會,高,0.146905352400021,0.33826207451732543,9
사간원,11,分,明,0.15531414465146065,0.27828558938431047,5
사간원,12,樽,酒,0.12519318620111852,0.2750775456361273,8
사간원,13,名,官,0.12204649379544691,0.2681635557450684,8
사간원,14,寒,歲,0.12168216389195774,0.26736304112686343,8
사간원,15,一,莫,0.14510329553704873,0.25999020379470406,5
승정원,1,臺,銀,0.5345342960833878,1.3710533992802403,12
승정원,2,雨,露,0.5924695831764492,1.1528925749096235,6
승정원,3,池,鳳,0.5420919546028447,0.9712983928519918,5
승정원,4,絲,綸,0.5330438434226,0.9550863539661603,5
승정원,5,一,時,0.19340285165648735,0.4453265231667666,9
승정원,6,白,頭,0.18294142983433603,0.35598758499732497,6
승정원,7,一,世,0.17709117486085219,0.3173047894736532,5
승정원,8,石,金,0.17544346389988041,0.31435248775678115,5
승정원,9,同,心,0.12133924126658838,0.2666095631062772,8
승정원,10,切,淸,0.12974980308085843,0.2524814586529708,6
승정원,11,共,時,0.11887704296304658,0.23132404439147683,6
승정원,12,畫,看,0.1256719299702605,0.22517387054037924,5
승정원,13,契,結,0.12234833528866118,0.21921878829774766,5
승정원,14,他,時,0.09861429921097475,0.2166777619031415,8
승정원,15,淸,臺,0.10529977387569817,0.20490389867795059,6
의금부,1,吾,金,0.49751232742783624,1.2362716907769353,11
의금부,2,虎,閣,0.5374485600911355,0.9629785467662754,5
의금부,3,虎,頭,0.49560404992865154,0.8880032494474351,5
의금부,4,吾,郞,0.4000728346856515,0.7168342899289264,5
의금부,5,郞,金,0.36761571102451396,0.6586789312651772,5
의금부,6,一,賢,0.24880393104031284,0.5173732299384717,7
의금부,7,畫,看,0.2538711052404244,0.4548759567779225,5
의금부,8,對,相,0.23814053508567865,0.42669055874680056,5
의금부,9,明,時,0.198036829807624,0.354834365063715,5
의금부,10,畫,風,0.17919168332375818,0.3210683954022587,5
의금부,11,共,時,0.15312723951111987,0.2979718494615119,6
의금부,12,肝,膽,0.14355926650360618,0.27935343368030374,6
의금부,13,選,郞,0.14879513890473717,0.26660509910766655,5
의금부,14,久,耐,0.12364586335679506,0.22154364650041572,5
의금부,15,醉,風,0.11192509018141891,0.20054284017676133,5
