token,count_a,count_b,delta,z,office
驄,25,0,0.9459554521956646,3.862490532514707,사헌부
霜,32,7,0.6874790643753803,3.6325809686576918,사헌부
臺,36,14,0.5490533163068454,3.326123157215843,사헌부
鐵,16,1,0.8576419212716804,2.9276246318886083,사헌부
烏,12,1,0.8307351282246378,2.4894009805844517,사헌부
柏,11,1,0.8213095063372267,2.3677287796776074,사헌부
寒,13,3,0.6739181439865352,2.283815383953386,사헌부
乘,13,3,0.6739181439865352,2.283815383953386,사헌부
班,11,2,0.7207926844171899,2.190549966040735,사헌부
蘭,14,5,0.5695948068433152,2.1235928614335933,사헌부
栢,7,0,0.9430655486462385,2.0384666028986405,사헌부
馬,16,8,0.4744197532976351,2.000614064400298,사헌부
諫,20,0,0.9999853985248439,3.652191009750896,사간원
薇,19,1,0.9257141261527551,3.420817433385506,사간원
垣,15,0,0.9991977940460233,3.1606184071455976,사간원
言,17,3,0.7817668634204376,2.9447410769953226,사간원
鵝,7,0,0.9976927184820328,2.156544992551394,사간원
正,8,1,0.8355636357083123,2.0975197275344986,사간원
疏,9,2,0.7359484930181264,2.066431809373389,사간원
忠,10,3,0.668237879220527,2.0532481152681825,사간원
卵,6,0,0.9974335490772468,1.9962517881991173,사간원
憂,5,0,0.9971269848205155,1.8220127212423851,사간원
亭,5,0,0.9971269848205155,1.8220127212423851,사간원
口,4,0,0.996737514093609,1.629359865658373,사간원
銀,13,0,1.0559538086470361,3.1096399908169876,승정원
喉,8,0,1.0549636800047928,2.4376027467595427,승정원
鳳,9,1,0.9087069987424314,2.399403272865707,승정원
斗,10,2,0.8143762684451668,2.3827712106172005,승정원
六,8,1,0.8926126639067196,2.2407301988487434,승정원
露,7,1,0.8726275291690833,2.0705949469286966,승정원
綸,8,2,0.7675382982772501,2.0602649351063955,승정원
舌,5,0,1.0541400854132208,1.9261906204856587,승정원
龍,9,4,0.6201060588818441,1.9208104964146417,승정원
恩,9,4,0.6201060588818441,1.9208104964146417,승정원
辰,6,1,0.8471236373511903,1.886189620017556,승정원
接,6,1,0.8471236373511903,1.886189620017556,승정원
吾,12,4,0.7703328150421482,2.631766893777803,의금부
虎,7,0,1.1257680036111504,2.4333838525513176,의금부
湖,7,0,1.1257680036111504,2.4333838525513176,의금부
閣,6,0,1.1254871688556927,2.2525367985685603,의금부
金,15,13,0.4817878041803372,2.2074662356135155,의금부
郞,9,4,0.6912118556389384,2.1410643688138746,의금부
簿,6,1,0.9181642128541103,2.0443672344832122,의금부
刑,4,0,1.124747829401704,1.838617435684673,의금부
牘,4,0,1.124747829401704,1.838617435684673,의금부
囹,3,0,1.124171070699835,1.5920240349501893,의금부
程,3,0,1.124171070699835,1.5920240349501893,의금부
本,3,0,1.124171070699835,1.5920240349501893,의금부
