bigram,count,per1k,label
風流,59,2.816901408450704,風流
畫圖,36,1.718787300071616,畫圖
金蘭,34,1.623299116734304,金蘭
他年,33,1.575555025065648,他年
百年,31,1.480066841728336,百年
歲寒,28,1.336834566722368,歲寒
一時,27,1.289090475053712,一時
暇日,27,1.289090475053712,暇日
題名,26,1.2413463833850562,題名
托契,21,1.0026259250417762,托契
丹靑,19,0.907137741704464,丹靑
他時,18,0.859393650035808,他時
白頭,18,0.859393650035808,白頭
一幅,17,0.811649558367152,一幅
離合,17,0.811649558367152,離合
雨露,16,0.763905466698496,雨露
高會,16,0.763905466698496,高會
白首,16,0.763905466698496,白首
蘭契,15,0.71616137502984,蘭契
靑雲,15,0.71616137502984,靑雲
薇垣,15,0.71616137502984,薇垣
交情,15,0.71616137502984,交情
盛事,15,0.71616137502984,盛事
他日,15,0.71616137502984,他日
伯仲,14,0.668417283361184,伯仲
簿書,14,0.668417283361184,簿書
從容,14,0.668417283361184,從容
襟期,14,0.668417283361184,襟期
郞官,13,0.6206731916925281,郞官
樽酒,13,0.6206731916925281,樽酒
